'大天使','ヴィクター',51.
'大天使','イスラフィール',63.
'大天使','カズフェル',66.
'大天使','アズラエル',69.
'大天使','スラオシャ',74.
'大天使','アールマティ',76.
'大天使','ハニエル',79.
'大天使','マンセマット',82.
'大天使','サンダルフォン',83.
'大天使','メタトロン',84.
'大天使','セラフ',89.
'女神','ハトホル',11.
'女神','フォルトゥナ',20.
'女神','パールヴァティ',32.
'女神','スカアハ',43.
'女神','イシュタル',45.
'女神','パラスアテナ',53.
'女神','トラソルテオトル',64.
'女神','ノルン',72.
'女神','ラクシュミ',73.
'女神','マリア',74.
'女神','アマテラス',79.
'女神','デメテル',85.
'霊鳥','ハンサ',9.
'霊鳥','スパルナ',15.
'霊鳥','フェニックス',25.
'霊鳥','サンダーバード',35.
'霊鳥','スザク',46.
'霊鳥','ヤタガラス',59.
'霊鳥','ガルーダ',71.
'神樹','ダフネ',21.
'神樹','マヤウェル',35.
'神樹','ククノチ',44.
'神樹','ハオマ',55.
'神樹','イグドラジル',64.
'天使','エンジェル',4.
'天使','アークエンジェル',8.
'天使','プリンシパリティ',14.
'天使','パワー',19.
'天使','ヴァーチャー',25.
'天使','ドミニオン',38.
'天使','ソロネ',47.
'天使','ケルプ',61.
'妖鳥','タンガタ・マヌ',2.
'妖鳥','ハーピー',9.
'妖鳥','コカクチョウ',15.
'妖鳥','カラドリウス',22.
'妖鳥','タクヒ',31.
'妖鳥','ルフ',42.
'妖鳥','タイホウ',50.
'妖魔','コッパテング',5.
'妖魔','ヴォジャノーイ',13.
'妖魔','カラステング',18.
'妖魔','ディース',27.
'妖魔','シワンナ',37.
'妖魔','ヴァルキリー',45.
'妖魔','シウテクトリ',54.
'妖魔','マスターテリオン',62.
'妖魔','ガネーシャ',67.
'妖魔','シャイターン',75.
'天女','アプサラス',10.
'天女','アメノウズメ',24.
'天女','アナーヒター',28.
'天女','センリ',36.
'天女','キクリヒメ',42.
'天女','サラスヴァティ',48.
'天女','ペリ',59.
'邪神','バフォメット',26.
'邪神','ミシャグジさま',39.
'邪神','パチャカマク',48.
'邪神','トウテツ',53.
'邪神','アルシエル',61.
'邪神','パレス',68.
'邪神','サマエル',75.
'邪神','マダ',82.
'邪神','セト',85.
'邪神','デミウルゴス',94.
'凶鳥','オンモラキ',3.
'凶鳥','イツマデ',7.
'凶鳥','モー・ショボー',17.
'凶鳥','チン',28.
'凶鳥','カマソッソ',31.
'凶鳥','グルル',40.
'凶鳥','アンズー',49.
'凶鳥','カウ',64.
'凶鳥','フレスベルグ',70.
'妖樹','サンショウ',14.
'妖樹','マンドレイク',22.
'妖樹','スクーグスロー',29.
'妖樹','ザックーム',42.
'妖樹','アルラウネ',51.
'妖樹','アールキング',61.
'魔神','トート',41.
'魔神','インティ',49.
'魔神','プロメテウス',57.
'魔神','オメテオトル',65.
'魔神','ゼウス',67.
'魔神','オーディン',71.
'魔神','ハチマン',77.
'魔神','ヴィシュヌ',86.
'神獣','シーサー',14.
'神獣','カマプアア',24.
'神獣','マカミ',32.
'神獣','カイメイジュウ',43.
'神獣','キマイラ',49.
'神獣','アヌビス',61.
'神獣','バロン',69.
'聖獣','ヘケト',10.
'聖獣','アピス',18.
'聖獣','パピルサグ',26.
'聖獣','セイギュウカイ',33.
'聖獣','アイラーヴァタ',41.
'聖獣','ビャッコ',48.
'聖獣','スレイプニル',56.
'聖獣','スフィンクス',70.
'幻魔','ナジャ',23.
'幻魔','タム・リン',29.
'幻魔','フロストエース',34.
'幻魔','クラマテング',38.
'幻魔','トラロック',40.
'幻魔','クー・フーリン',48.
'幻魔','クルースニク',55.
'幻魔','ハヌマーン',62.
'幻魔','ヘイムダル',72.
'妖精','ピクシー',2.
'妖精','ゴブリン',7.
'妖精','ジャックフロスト',12.
'妖精','ジャックランタン',16.
'妖精','ハイピクシー',19.
'妖精','シルキー',23.
'妖精','ローレライ',31.
'妖精','スプリガン',34.
'妖精','ヴィヴィアン',40.
'妖精','オベロン',50.
'妖精','ティターニア',60.
'妖精','デモニホ',75.
'魔獣','カソ',4.
'魔獣','カタキラウワ',9.
'魔獣','イヌガミ',17.
'魔獣','ネコマタ',22.
'魔獣','ショウジョウ',30.
'魔獣','オルトロス',36.
'魔獣','グリフォン',46.
'魔獣','アーマーン',56.
'魔獣','ケルベロス',66.
'地霊','ノッカー',1.
'地霊','カハク',6.
'地霊','スダマ',15.
'地霊','バガブー',20.
'地霊','ボギブー',20.
'地霊','ブギブー',20.
